SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
0,10-Aug-12,09-Aug-13,12,1202,198000,3656.62,5000032604,1983,2,100,Truck,11580,MERCEEDES,Own Goods,
0,24-Jul-11,23-Jul-12,99,1202,198000,3419.494,5000032604,1983,2,100,Truck,11580,MERCEEDES,Own Goods,
0,10-Aug-12,09-Aug-13,12,1202,80000,1887.85,5000032607,1989,4,7,Pick-up,2389,NISSAN,Own Goods,
0,24-Jul-11,23-Jul-12,99,1202,80000,2678.015,5000032607,1989,4,7,Pick-up,2389,NISSAN,Own Goods,
0,11-Aug-13,10-Aug-14,12,1202,0,3593.52,5000032608,1982,2,134,Truck,11580,MERCEEDES,General Cartage,
0,10-Aug-12,09-Aug-13,12,1202,565000,9998.15,5000032608,1982,2,134,Truck,11580,MERCEEDES,General Cartage,18260
0,24-Jul-11,23-Jul-12,99,1202,565000,11521.864,5000032608,1982,2,134,Truck,11580,MERCEEDES,General Cartage,
1,18-Mar-14,17-Mar-15,14,1202,0,733,5000032609,2013,4,6,Pick-up,2494,TOYOTA,Own Goods,
0,08-Jul-13,07-Jul-14,84,1201,22174.29,587.14,5000032642,2005,1,,Motor-cycle,1300,SUZUKI,Private,
0,08-Jul-12,07-Jul-13,84,1201,22174.29,570.9,5000032642,2005,1,,Motor-cycle,1300,SUZUKI,Private,
0,08-Jul-11,07-Jul-12,84,1201,22174.29,338.4,5000032642,2005,1,,Motor-cycle,1300,SUZUKI,Private,
0,08-Jul-13,07-Jul-14,84,1201,215201.18,3326.51,5000032643,2003,5,,Automobile,1586,SUZUKI,Private,
0,08-Jul-12,07-Jul-13,84,1201,215201.18,3380.66,5000032643,2003,5,,Automobile,1586,SUZUKI,Private,
0,08-Jul-11,07-Jul-12,84,1201,215201.18,3315.722,5000032643,2003,5,,Automobile,1586,SUZUKI,Private,
0,08-Jul-13,07-Jul-14,94,1202,160397,4957.19,5000032647,2001,4,7,Pick-up,2499,FORD,Own Goods,
0,08-Jul-12,07-Jul-13,94,1202,160397.83,5029.61,5000032647,2001,4,7,Pick-up,2499,FORD,Own Goods,
0,08-Jul-11,07-Jul-12,94,1202,160397.83,5091.441,5000032647,2001,4,7,Pick-up,2499,FORD,Own Goods,
0,08-Jul-11,07-Jul-12,94,1202,151743.26,4361.901,5000032650,1984,4,7,Pick-up,3000,MITSUBISHI,Own Goods,
0,08-Jul-13,07-Jul-14,9,1202,1200000,33814.93,5000032691,2003,44,44,Bus,8071,MERCEEDES,Fare Paying Passengers,
0,08-Jul-12,07-Jul-13,9,1202,1200000,35710.59,5000032691,2003,44,44,Bus,8071,MERCEEDES,Fare Paying Passengers,
0,08-Jul-11,07-Jul-12,9,1202,1200000,43313,5000032691,2003,44,44,Bus,8071,MERCEEDES,Fare Paying Passengers,
0,15-Jun-14,14-Jun-15,7,1202,270000,4004.7,5000029757,2006,2,10,Pick-up,6164,TOYOTA,Own Goods,
0,15-Jun-13,14-Jun-14,7,1202,270000,3846.75,5000029757,2006,2,10,Pick-up,6164,TOYOTA,Own Goods,
0,15-Jun-12,14-Jun-13,7,1202,270000,3807.224,5000029757,2006,2,10,Pick-up,6164,TOYOTA,Own Goods,
0,08-Jul-11,07-Aug-11,75,1202,360000,197.07,5000029757,2006,2,10,Pick-up,6164,TOYOTA,Own Goods,
0,08-Aug-13,07-Aug-14,1,1202,533990.78,8825.98,5000029785,2009,25,0,Bus,4214,MITSUBISHI,Own service,
0,08-Aug-12,07-Aug-13,1,1202,533990.78,8825.98,5000029785,2009,25,0,Bus,4214,MITSUBISHI,Own service,
0,08-Aug-11,07-Aug-12,1,1202,533990.78,8399.348,5000029785,2009,25,0,Bus,4214,MITSUBISHI,Own service,
0,08-Jul-11,07-Aug-11,1,1202,533990.78,556.13,5000029785,2009,25,0,Bus,4214,MITSUBISHI,Own service,
2,02-Jul-13,01-Jul-14,0,1201,68000,1419.99,5000030524,1988,4,,Automobile,1295,TOYOTA,Private,
2,02-Jul-12,01-Jul-13,0,1201,68000,1241.34,5000030524,1988,4,,Automobile,1295,TOYOTA,Private,
2,02-Jul-11,01-Jul-12,0,1201,68000,1021.91,5000030524,1988,4,,Automobile,1295,TOYOTA,Private,
0,22-Jul-11,21-Jul-12,11,1201,0,395,5000030678,1973,5,,Automobile,1200,VOLKSWAGON,Own service,
1,08-Aug-11,07-Aug-12,10,1202,330000,12142.28,5000031264,2001,11,0,Bus,2986,ZZ,Fare Paying Passengers,
1,16-Nov-12,15-Nov-13,10,1202,2700000,70156.91,5000031348,2010,0,18000,Tanker,12880,IVECO,General Cartage,
1,16-Nov-11,15-Nov-12,10,1202,2363510,33345.17,5000031348,2010,0,18000,Tanker,12880,IVECO,General Cartage,
1,12-Nov-13,11-Nov-14,10,1202,2800000,35908.36,5000031364,2010,1,155.9,Truck,12880,IVECO,General Cartage,
1,12-Nov-12,11-Nov-13,10,1202,2100000,29511.57,5000031364,2010,1,155.9,Truck,12880,IVECO,General Cartage,
1,12-Nov-11,11-Nov-12,10,1202,2100000,30113.97,5000031364,2010,1,155.9,Truck,12880,IVECO,General Cartage,
0,08-Jul-13,07-Jul-14,12,1201,120000,3889.37,5000031381,1986,4,,Automobile,1300,TOYOTA,Private,
0,08-Jul-12,07-Jul-13,12,1201,120000,4073.5,5000031381,1986,4,,Automobile,1300,TOYOTA,Private,
0,08-Jul-11,07-Jul-12,18,1201,120000,4292.62,5000031381,1986,4,,Automobile,1300,TOYOTA,Private,
0,08-Jul-13,07-Jul-14,12,1201,268000,3775.27,5000031382,2005,4,,Automobile,1295,TOYOTA,Private,
0,08-Jul-12,07-Jul-13,12,1201,268000,3862.71,5000031382,2005,4,,Automobile,1295,TOYOTA,Private,
0,08-Jul-11,07-Jul-12,18,1201,268000,4192.054,5000031382,2005,4,,Automobile,1295,TOYOTA,Private,
0,08-Jul-13,07-Jul-14,3,1201,280000,4201.28,5000031397,1982,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-12,07-Jul-13,3,1201,280000,4614.41,5000031397,1982,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-11,07-Jul-12,3,1201,280000,4392.239,5000031397,1982,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-13,07-Jul-14,3,1201,279768.19,7344.68,5000031399,2006,1,34,Truck,4164,TOYOTA,Own Goods,
0,08-Jul-12,07-Jul-13,3,1201,279768.19,7927.27,5000031399,2006,1,34,Truck,4164,TOYOTA,Own Goods,
0,08-Jul-11,07-Jul-12,3,1201,279768.19,8176.069,5000031399,2006,1,34,Truck,4164,TOYOTA,Own Goods,
0,08-Jul-13,07-Jul-14,3,1201,510000,7784.66,5000031401,2003,10,,Station Wagones,4169,NISSAN,Private,
0,08-Jul-12,07-Jul-13,3,1201,510000,8090.5,5000031401,2003,10,,Station Wagones,4169,NISSAN,Private,
0,08-Jul-11,07-Jul-12,3,1201,510000,8230.306,5000031401,2003,10,,Station Wagones,4169,NISSAN,Private,
0,08-Jul-13,07-Jul-14,3,1201,249900,7744.96,5000031402,1999,2,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-12,07-Jul-13,3,1201,249900,8268.71,5000031402,1999,2,10,Pick-up,4164,TOYOTA,Own Goods,
